respondent_grade_level,student_race,student_ethnicity,student_gender,student_ell,student_sp_ed,urbanicity,School Belonging,School Teacher-Student Relationships,School Safety,School Climate,School Engagement,Supportive Relationships,Positive Feelings,Emotion Regulation,Challenging Feelings,School Rigorous Expectations,id
3,White,Latinx,Male,English language learner,General education,Suburb - Large,3,4,3,2,4,5,4,2,3,5,89
3,White,Not Latinx,Female,English proficient,General education,City - Large,5,4,5,2,3,5,5,3,4,5,90
3,Black,Not Latinx,Male,English proficient,General education,City - Large,2,5,4,2,2,5,5,2,3,3,91
3,White,Not Latinx,Male,English language learner,General education,Rural - Distant,4,1,4,3,5,5,4,2,4,3,92
3,White,Latinx,Female,English proficient,General education,Town - Distant,4,5,4,5,3,5,4,2,4,4,93
3,White,Latinx,Female,English proficient,General education,Suburb - Large,4,3,2,4,4,4,4,4,4,3,94
3,Asian,Not Latinx,Female,English proficient,General education,Suburb - Large,4,5,5,4,4,5,5,3,4,5,95
3,White,Latinx,Male,English language learner,General education,City - Large,3,5,2,5,4,2,4,5,4,3,96
3,White,Latinx,Female,English proficient,General education,Town - Remote,3,5,2,4,5,5,5,4,4,5,97
3,Black,Latinx,Male,English proficient,General education,Suburb - Large,4,5,2,2,3,5,5,4,2,4,98
3,Black,Latinx,Male,English proficient,General education,City - Large,3,5,4,4,2,5,5,4,2,4,99
3,White,Not Latinx,Male,English proficient,Special education,City - Large,2,4,4,4,4,5,4,3,4,4,100
3,White,Not Latinx,Female,English proficient,General education,Suburb - Large,1,5,2,4,2,5,3,4,2,4,101
3,White,Latinx,Female,English proficient,General education,City - Large,4,3,4,4,3,5,2,3,5,3,102
3,White,Latinx,Female,English proficient,Special education,Suburb - Midsize,3,5,4,3,4,5,4,4,2,5,103
3,Asian,Not Latinx,Male,English proficient,General education,Suburb - Large,4,4,4,4,5,5,1,5,4,4,104
3,White,Latinx,Male,English proficient,General education,City - Large,4,4,4,3,4,5,3,4,5,4,105
3,Black,Not Latinx,Female,English proficient,General education,Suburb - Large,4,3,3,3,5,5,4,5,3,4,106
3,White,Latinx,Male,English language learner,Special education,Suburb - Large,3,4,3,4,5,4,4,4,3,5,107
3,Multiracial,Latinx,Male,English proficient,General education,Suburb - Large,5,5,4,4,4,5,4,4,4,5,108
3,White,Latinx,Male,English language learner,General education,Rural - Distant,4,5,5,4,3,5,5,2,4,4,109
3,Asian,Latinx,Female,English proficient,General education,Rural - Fringe,4,4,3,5,4,5,5,4,4,4,110
3,White,Not Latinx,Female,English proficient,General education,Suburb - Large,4,4,4,5,4,5,4,4,4,4,111
3,White,Latinx,Male,English proficient,General education,City - Large,4,5,4,4,4,5,3,4,4,3,112
3,White,Latinx,Male,English proficient,General education,City - Small,4,5,4,4,2,5,4,3,4,5,113
3,White,Latinx,Female,English proficient,General education,City - Large,4,4,4,4,5,4,4,3,5,4,114
3,White,Latinx,Female,English proficient,General education,City - Large,4,2,3,4,4,5,5,4,4,4,115
3,White,Latinx,Male,English proficient,General education,City - Small,5,4,4,4,3,5,4,4,2,5,116
3,White,Latinx,Female,English proficient,General education,City - Midsize,4,2,5,4,5,5,1,3,3,4,117
3,White,Latinx,Female,English proficient,General education,City - Midsize,4,3,4,5,4,5,4,3,1,4,118
3,Black,Latinx,Male,English proficient,General education,City - Midsize,5,3,4,5,5,5,2,5,2,3,119
3,Black,Not Latinx,Male,English proficient,General education,City - Large,3,5,3,3,4,5,5,3,4,3,120
3,Asian,Latinx,Male,English proficient,Special education,Suburb - Large,4,4,5,5,5,2,3,4,4,5,121
3,White,Not Latinx,Male,English proficient,General education,City - Large,5,4,3,4,4,5,4,3,2,4,122
3,Asian,Not Latinx,Female,English proficient,General education,Suburb - Large,4,5,3,3,5,5,3,4,2,5,123
3,White,Latinx,Female,English proficient,General education,City - Midsize,4,4,4,5,2,5,4,4,3,5,124
3,White,Not Latinx,Female,English proficient,Special education,City - Large,3,5,4,4,4,5,4,2,2,3,125
3,White,Latinx,Female,English proficient,General education,Suburb - Large,5,3,5,5,1,4,4,2,3,1,126
3,White,Not Latinx,Female,English proficient,General education,Suburb - Large,4,5,3,4,4,4,4,4,4,5,127
3,White,Latinx,Male,English proficient,Special education,Suburb - Large,4,4,4,5,4,5,4,4,4,5,128
3,Native American,Not Latinx,Male,English proficient,General education,City - Large,4,4,4,1,4,5,4,4,2,5,129
3,White,Latinx,Male,English proficient,General education,City - Midsize,4,5,3,3,3,5,4,4,4,5,130
3,White,Latinx,Male,English language learner,General education,Suburb - Large,5,5,3,4,4,5,3,1,4,4,131
3,Black,Not Latinx,Male,English proficient,General education,Suburb - Large,4,3,5,5,5,5,4,5,4,3,132
3,White,Latinx,Female,English proficient,Special education,City - Large,4,4,2,3,4,5,4,3,4,4,133
3,White,Latinx,Male,English proficient,General education,City - Midsize,5,5,4,5,4,4,3,5,2,4,134
3,White,Latinx,Male,English proficient,Special education,Suburb - Large,3,4,3,4,4,5,4,2,2,4,135
3,Black,Not Latinx,Female,English proficient,General education,City - Midsize,2,4,4,4,2,5,3,2,3,4,136
3,White,Latinx,Female,English proficient,General education,City - Large,3,5,4,5,4,4,4,4,3,5,137
3,White,Not Latinx,Male,English proficient,General education,City - Large,5,4,3,4,4,4,4,2,4,4,138
3,White,Latinx,Female,English proficient,General education,Rural - Fringe,4,2,4,3,4,5,5,3,3,4,139
3,White,Latinx,Female,English proficient,General education,Suburb - Large,5,5,5,5,4,2,5,4,4,4,140
3,White,Latinx,Female,English proficient,General education,Suburb - Large,4,4,4,4,4,5,4,2,4,4,141
3,Asian,Latinx,Female,English proficient,General education,City - Small,4,5,4,4,4,5,4,3,3,4,142
3,White,Not Latinx,Male,English language learner,General education,Suburb - Large,4,4,3,3,4,5,5,3,1,3,143
3,Black,Latinx,Male,English proficient,General education,City - Large,4,5,4,4,3,5,4,4,3,4,144
3,White,Latinx,Female,English language learner,General education,Suburb - Large,2,5,3,4,3,5,2,5,4,5,145
3,Asian,Latinx,Female,English language learner,Special education,City - Midsize,2,5,4,4,5,5,5,3,4,5,146
3,White,Latinx,Male,English language learner,General education,City - Large,4,3,4,4,5,5,5,4,2,4,147
3,Black,Not Latinx,Female,English language learner,General education,Rural - Fringe,4,5,4,4,4,5,5,4,4,5,148
3,Black,Not Latinx,Male,English proficient,Special education,Rural - Fringe,3,5,4,4,4,5,5,3,4,2,149
3,Black,Not Latinx,Male,English proficient,General education,City - Large,4,2,4,2,4,5,4,2,5,4,150
3,White,Latinx,Male,English proficient,General education,Suburb - Large,2,5,3,5,4,5,3,4,4,4,151
3,White,Latinx,Male,English proficient,General education,Suburb - Large,4,4,4,4,5,4,4,3,4,4,152
3,White,Latinx,Female,English proficient,General education,City - Large,4,4,3,4,2,4,5,3,5,4,153
3,Black,Not Latinx,Male,English proficient,General education,Suburb - Large,5,5,2,4,3,4,5,3,5,4,154
3,White,Not Latinx,Female,English proficient,General education,Suburb - Large,4,5,5,3,4,5,4,2,4,5,155
3,White,Latinx,Female,English proficient,General education,City - Midsize,4,1,3,3,3,5,4,4,2,5,156
3,White,Latinx,Male,English proficient,General education,City - Large,4,5,3,5,3,5,4,4,5,3,157
3,White,Not Latinx,Female,English proficient,General education,City - Large,5,2,3,4,3,5,4,4,2,4,158
3,White,Latinx,Male,English proficient,General education,Suburb - Large,4,4,3,4,5,4,4,4,5,4,159
3,White,Latinx,Male,English proficient,General education,Suburb - Large,3,5,3,4,3,5,3,2,1,5,160
3,Multiracial,Not Latinx,Male,English proficient,General education,City - Large,4,2,3,4,3,5,2,2,4,3,161
3,Multiracial,Latinx,Male,English language learner,General education,City - Small,4,4,5,5,4,5,5,3,4,4,162
3,White,Latinx,Female,English proficient,General education,Suburb - Midsize,4,5,3,4,5,5,4,4,5,4,163
3,Black,Latinx,Male,English language learner,General education,Suburb - Large,3,4,2,2,5,5,4,4,4,3,164
3,Asian,Latinx,Male,English proficient,General education,Suburb - Large,4,5,5,3,4,5,4,4,2,5,165
3,Pacific Islander,Not Latinx,Male,English proficient,General education,City - Small,2,5,3,2,3,5,5,2,3,4,166
3,White,Latinx,Female,English proficient,General education,City - Small,4,4,2,3,2,5,4,3,4,4,167
3,White,Not Latinx,Female,English proficient,General education,City - Large,3,5,2,3,4,2,5,2,3,5,168
3,White,Latinx,Male,English proficient,General education,Suburb - Large,5,2,2,3,5,4,4,4,3,5,169
3,White,Latinx,Male,English language learner,Special education,City - Midsize,4,5,3,4,4,4,5,3,2,3,170
3,White,Latinx,Female,English proficient,General education,Suburb - Large,4,4,4,2,4,5,5,3,4,5,171
3,White,Not Latinx,Female,English language learner,Special education,Suburb - Large,5,3,4,4,5,5,4,4,4,5,172
3,White,Latinx,Female,English proficient,General education,Suburb - Large,4,5,3,4,1,5,4,3,4,4,173
3,White,Not Latinx,Male,English language learner,General education,Suburb - Large,3,5,4,3,4,5,5,2,3,4,174
3,White,Latinx,Female,English proficient,General education,Suburb - Large,4,5,3,3,2,5,3,3,4,4,175
3,Black,Not Latinx,Female,English proficient,General education,City - Large,3,5,3,4,5,5,4,2,4,3,176
3,White,Latinx,Female,English proficient,General education,City - Small,2,5,4,3,4,5,5,3,2,5,177
3,Asian,Latinx,Female,English proficient,General education,Suburb - Midsize,4,4,4,5,4,5,4,3,2,3,178
3,Asian,Not Latinx,Male,English proficient,General education,City - Large,5,5,4,5,4,4,5,3,3,5,179
3,Pacific Islander,Latinx,Male,English proficient,Special education,City - Large,2,2,4,4,5,5,5,2,4,4,180
3,White,Latinx,Male,English proficient,General education,City - Small,4,4,4,4,4,5,4,2,4,4,181
3,Asian,Latinx,Female,English proficient,Special education,City - Large,4,5,3,5,3,5,5,4,4,3,182
3,Black,Latinx,Male,English proficient,General education,Rural - Fringe,5,4,4,4,3,4,5,2,4,5,183
3,Black,Latinx,Male,English proficient,Special education,Suburb - Large,3,4,5,4,4,2,2,5,4,4,184
3,White,Latinx,Female,English proficient,General education,Suburb - Large,4,4,4,3,4,5,4,4,4,5,185
3,White,Latinx,Male,English proficient,General education,Suburb - Midsize,4,5,2,5,4,5,5,2,5,3,186
3,White,Latinx,Male,English proficient,General education,Town - Remote,4,5,4,3,3,4,4,4,4,4,187
3,Asian,Latinx,Female,English language learner,Special education,Suburb - Large,4,5,1,4,2,5,4,4,4,2,188
3,White,Latinx,Female,English language learner,General education,Suburb - Large,4,4,4,3,3,5,5,4,4,5,189
3,Multiracial,Latinx,Female,English proficient,General education,Suburb - Large,1,4,3,5,3,4,5,3,3,4,190
3,White,Latinx,Female,English proficient,Special education,Rural - Fringe,4,5,2,3,4,5,4,4,4,3,191
3,White,Latinx,Female,English proficient,General education,City - Midsize,2,3,2,4,4,5,4,3,4,4,192
3,White,Latinx,Male,English proficient,General education,Suburb - Large,4,2,4,4,4,5,4,3,4,5,193
3,Multiracial,Latinx,Female,English proficient,General education,Suburb - Large,4,4,5,4,3,4,4,4,4,4,194
3,White,Latinx,Female,English proficient,General education,Suburb - Large,5,5,5,2,5,5,4,5,2,4,195
3,Black,Latinx,Male,English proficient,General education,City - Large,5,3,4,4,4,5,4,4,4,5,196
3,White,Latinx,Male,English proficient,General education,Suburb - Large,5,4,3,4,4,1,3,4,4,4,197
3,White,Not Latinx,Female,English language learner,General education,Suburb - Large,5,5,3,4,3,5,4,4,3,4,198
3,Pacific Islander,Latinx,Male,English proficient,General education,Rural - Fringe,5,5,3,5,4,5,5,3,3,4,199
3,Black,Latinx,Female,English proficient,General education,City - Large,4,3,5,5,3,5,4,4,3,5,200
3,White,Latinx,Female,English language learner,General education,Suburb - Midsize,4,5,3,5,5,5,5,4,3,5,201
3,White,Latinx,Female,English proficient,General education,Suburb - Large,4,3,3,4,3,4,4,2,4,5,202
3,Pacific Islander,Latinx,Male,English proficient,General education,Suburb - Large,5,5,5,4,2,5,3,4,2,5,203
3,Black,Latinx,Male,English language learner,General education,City - Large,5,4,5,4,5,5,3,3,4,3,204
3,Black,Not Latinx,Female,English proficient,General education,Suburb - Large,4,2,4,4,3,5,4,5,2,5,205
3,Multiracial,Latinx,Female,English proficient,Special education,Suburb - Large,5,5,3,4,4,4,2,4,3,4,206
3,White,Not Latinx,Female,English proficient,General education,Suburb - Large,4,5,4,5,4,2,4,3,3,4,207
3,Multiracial,Latinx,Male,English language learner,General education,City - Large,4,5,4,4,3,5,5,4,5,4,208
3,White,Latinx,Male,English proficient,General education,City - Midsize,4,4,3,4,3,1,4,3,3,2,209
3,White,Not Latinx,Male,English proficient,Special education,Suburb - Small,5,5,4,4,4,2,4,2,4,4,210
3,Pacific Islander,Latinx,Male,English proficient,General education,City - Large,5,5,3,3,5,5,3,3,5,4,211
3,Asian,Latinx,Male,English proficient,Special education,Suburb - Large,4,5,4,3,4,5,3,3,4,3,212
3,White,Not Latinx,Male,English language learner,General education,Suburb - Large,3,3,5,3,4,2,5,4,2,5,213
3,Black,Not Latinx,Male,English proficient,General education,Suburb - Large,3,4,4,4,4,5,5,4,4,5,214
3,White,Not Latinx,Male,English proficient,General education,Suburb - Large,3,5,5,4,4,5,5,3,4,5,215
3,Pacific Islander,Latinx,Male,English proficient,General education,City - Small,4,5,5,5,3,5,5,3,2,4,216
3,Multiracial,Latinx,Male,English proficient,General education,Suburb - Midsize,5,5,3,5,3,5,4,4,4,5,217
3,White,Latinx,Female,English proficient,General education,Suburb - Large,5,5,4,2,3,5,4,3,2,4,218
3,Multiracial,Latinx,Male,English language learner,General education,City - Large,2,5,4,4,1,3,5,3,3,4,219
3,White,Latinx,Female,English language learner,General education,Suburb - Large,4,3,3,4,4,5,4,3,4,5,220
3,White,Latinx,Female,English proficient,Special education,City - Small,4,4,5,4,4,5,3,3,4,4,221
3,Multiracial,Latinx,Female,English language learner,General education,Suburb - Large,4,3,2,2,4,5,4,3,5,4,222
3,Black,Not Latinx,Male,English proficient,General education,City - Midsize,4,3,4,4,3,4,4,4,3,3,223
3,White,Latinx,Male,English proficient,General education,City - Midsize,2,5,4,2,4,2,4,3,4,5,224
3,Multiracial,Not Latinx,Male,English proficient,General education,City - Large,4,3,4,4,5,4,4,2,2,4,225
3,Black,Latinx,Male,English language learner,General education,Suburb - Large,4,4,4,3,4,2,4,3,2,5,226
3,Multiracial,Not Latinx,Female,English proficient,General education,Suburb - Midsize,4,3,4,3,4,4,5,4,3,5,227
3,White,Latinx,Male,English language learner,General education,City - Large,4,5,4,4,5,5,4,4,3,4,228
3,Asian,Not Latinx,Female,English proficient,General education,Suburb - Large,4,3,4,4,5,5,4,3,2,4,229
3,White,Not Latinx,Female,English proficient,General education,Suburb - Large,4,5,3,5,4,5,4,2,1,5,230
3,Black,Latinx,Male,English proficient,General education,City - Large,2,5,3,4,4,4,4,3,4,2,231
3,White,Latinx,Female,English proficient,Special education,Suburb - Large,4,4,4,4,4,4,4,1,2,4,232
3,White,Not Latinx,Male,English proficient,General education,City - Large,4,5,3,4,4,5,4,3,3,5,233
3,White,Latinx,Male,English proficient,General education,Suburb - Large,4,5,2,5,2,5,5,2,4,4,234
3,Native American,Latinx,Female,English proficient,General education,Suburb - Large,3,5,5,5,4,5,3,3,4,5,235
3,Asian,Latinx,Male,English proficient,General education,City - Large,4,5,2,2,5,4,4,1,3,4,236
3,Black,Not Latinx,Female,English proficient,General education,Rural - Fringe,2,4,5,5,4,5,4,4,4,4,237
3,Black,Latinx,Female,English proficient,General education,Suburb - Large,2,5,2,4,4,5,4,5,4,4,238
3,Black,Latinx,Female,English proficient,General education,Suburb - Large,5,5,4,3,3,4,4,3,4,4,239
3,Black,Not Latinx,Female,English proficient,General education,Suburb - Large,4,5,3,4,4,5,4,3,5,2,240
3,White,Latinx,Female,English language learner,General education,Suburb - Large,5,3,4,4,3,5,3,3,3,3,241
3,White,Not Latinx,Male,English proficient,Special education,Suburb - Large,4,5,4,4,3,5,3,4,4,3,242
3,Black,Latinx,Female,English proficient,General education,Town - Fringe,4,5,2,3,4,4,5,4,4,4,243
3,Black,Latinx,Female,English proficient,Special education,Suburb - Large,5,4,5,4,3,5,4,2,2,4,244
3,Multiracial,Not Latinx,Male,English proficient,General education,City - Midsize,4,4,5,5,5,5,3,3,4,5,245
3,Black,Latinx,Male,English language learner,General education,City - Midsize,4,4,3,4,4,5,2,2,4,4,246
3,White,Latinx,Male,English language learner,General education,Suburb - Large,5,2,5,5,4,5,4,3,4,5,247
3,Black,Latinx,Female,English proficient,General education,Suburb - Large,4,3,3,4,4,2,3,4,3,5,248
3,White,Not Latinx,Male,English proficient,General education,City - Large,3,4,5,4,3,5,4,4,2,4,249
3,White,Latinx,Male,English proficient,General education,Suburb - Large,3,5,4,3,4,3,3,4,4,4,250
3,Pacific Islander,Not Latinx,Female,English proficient,Special education,Suburb - Large,4,5,4,4,4,5,3,2,5,4,251
3,White,Latinx,Female,English proficient,General education,Suburb - Large,4,4,4,4,3,1,5,3,3,5,252
3,Pacific Islander,Not Latinx,Male,English proficient,General education,City - Small,5,5,5,3,5,4,2,3,4,5,253
3,White,Not Latinx,Female,English language learner,Special education,City - Midsize,4,5,3,4,3,5,2,4,5,3,254
3,Native American,Not Latinx,Female,English proficient,General education,City - Large,4,4,4,4,3,4,3,3,3,4,255
3,White,Latinx,Female,English proficient,Special education,City - Midsize,4,3,4,4,4,5,4,5,3,4,256
3,White,Not Latinx,Male,English proficient,General education,City - Large,2,4,4,4,4,1,5,3,4,4,257
3,Black,Latinx,Female,English proficient,General education,City - Large,3,5,3,3,3,5,3,4,3,2,258
3,White,Not Latinx,Male,English proficient,Special education,City - Small,4,5,2,3,4,4,5,3,5,4,259
3,White,Latinx,Male,English proficient,General education,Suburb - Large,2,5,4,4,3,5,4,3,4,5,260
3,White,Latinx,Female,English proficient,General education,City - Midsize,5,4,4,4,4,5,2,4,3,4,261
3,White,Latinx,Female,English proficient,Special education,City - Large,4,4,3,4,5,5,2,2,5,4,262
3,Black,Latinx,Male,English proficient,General education,Suburb - Large,5,4,2,3,2,5,4,2,3,5,263
3,Asian,Not Latinx,Female,English proficient,General education,Suburb - Large,4,5,1,4,3,5,3,4,3,5,264
3,Multiracial,Latinx,Female,English language learner,General education,City - Large,5,5,4,4,5,5,4,4,2,4,265
3,Multiracial,Latinx,Female,English proficient,General education,Suburb - Large,4,5,4,3,4,5,4,3,4,3,266
3,Black,Not Latinx,Female,English proficient,General education,Suburb - Large,3,4,3,5,3,5,2,2,3,3,267
3,White,Latinx,Male,English proficient,General education,City - Large,2,5,3,3,5,5,4,3,4,4,268
3,Black,Latinx,Female,English proficient,General education,Rural - Distant,3,5,3,3,4,5,4,1,4,5,269
3,White,Not Latinx,Male,English proficient,Special education,Suburb - Large,4,5,2,5,4,5,3,5,4,4,270
